,X,GID,Date,Year,Month,Day,Source,SrcActor,SrcAgent,SOthAgent,Target,TgtActor,TgtAgent,TOthAgent,CAMEO,RootCode,QuadClass,Goldstein,None,Lat,Lon,Geoname,AdminInfo,CountryCode,ID,URL,sourcetxt
556749,556749,862766_v0.2.0,20150314,2015,3,14,CHL,CHL,,,ISR,ISR,,,130,13,3,-4.4,"NATURAL_DISASTER,1",-33.03932,-71.62725,Valparaíso,Región de Valparaíso,CHL,5504293dadb86b6f5356f9d5_0,http://www.manilatimes.net/chile-forest-fires-displace-16000-people/169363/,phil_manilatimes
501868,501868,661214_v0.2.0,20150221,2015,2,21,USA,USA,,,CUB,CUB,,,41,4,1,1,,22,-79.5,Republic of Cuba,,CUB,54e7d558ee647946aa4ab507_2;54e7d563ee647946bb92591d_2,http://www.sfgate.com/news/world/article/US-phone-card-company-strikes-deal-with-Cuba-6092792.php;http://www.startribune.com/world/293073441.html,sfgate_national;minnstartrib_world
124767,124767,442052,20140804,2014,8,4,UKRCVL,UKR,CVL,,RUS,RUS,,,43,4,1,2.8,,NA,NA,,,,53df68edbfd109572aee821a_4,http://article.wn.com/view/2014/08/04/Ukraine_Still_Not_Accepting_Russia_s_Humanitarian_Aid_for_Do/,wn_world
364219,364219,655745,20141220,2014,12,20,ISR,ISR,,,IGOUNOGOV,IGO,,UNO;GOV,111,11,3,-2,,NA,NA,,,,54958142bfd109704deb8a69_3,http://feedproxy.google.com/~r/euronews/en/home/~3/JCBYifL1Oj4/story01.htm,euronews
495076,495076,654420_v0.2.0,20150219,2015,2,19,GBR,GBR,,,IND,IND,,,46,4,1,7,,NA,NA,,,,54e5f139ee647946a5ad5727_0,http://www.thehindu.com/features/metroplus/its-the-journey-that-matters/article6912882.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,hindu_cities
750396,750396,1064093_v0.2.0,20150525,2015,5,25,AFG,AFG,,,IGOWSTNAT,IGO,,WST;NAT,10,1,0,0,,33,66,Islamic Republic of Afghanistan,,AFG,55632e28421aa95f1b675106_0;55639bfa421aa95f11cd8ab6_0;55633cc9421aa95f11cd88ac_0;55638622421aa95f1b67530f_0,http://article.wn.com/view/2015/05/25/Iraq_PM_rebuts_US_criticism_of_security_forces/;http://article.wn.com/view/2015/05/25/Iraq_rebuts_US_criticism_of_security_forces/;http://article.wn.com/view/2015/05/25/Iraq_PM_rebuts_US_criticism_of_security_forces_6/;http://article.wn.com/view/2015/05/25/Iraq_PM_Rebuts_US_Criticism_of_Security_Forces_8/,wn_world;wn_world;wn_world;wn_world
1393685,1393685,1777031_v0.2.0,20151214,2015,12,14,ISRGOV,ISR,GOV,,ISREDU,ISR,EDU,,62,6,2,7.4,"SCHOOLS,2;TEACHERS,2",31.76904,35.21633,Jerusalem,Jerusalem,ISR,5670349a421aa9363b3f4de3_0,http://www.jpost.com/Business-and-Innovation/Health-and-Science/Netanyahu-awards-Trump-prize-for-educational-excellence-to-Chemistry-teacher-437291,jpost_front
502816,502816,662162_v0.2.0,20150222,2015,2,22,IRNGOV,IRN,GOV,,PSE,PSE,,,14,1,0,0,,31.5,34.75,State of Israel,,ISR,54e9785cee647946bb926130_0,http://article.wn.com/view/2015/02/22/US_ready_to_walk_away_from_nuclear_talks_Kerry_warns_Iran/,wn_world
1604993,1604993,2020511_v1.2.0,20160301,2016,3,1,BRAENV,BRA,,ENV,BRAGOV,BRA,GOV,,30,3,1,4,"SECURITY_SERVICES,1",-10,-55,Federative Republic of Brazil,,BRA,56d480bb421aa9344c56b955_0,http://libertytimes.feedsportal.com/c/33098/f/535600/s/4deebb74/sc/31/l/0L0Staipeitimes0N0CNews0Cworld0Carchives0C20A160C0A30C0A10C20A0A3640A579/story01.htm,taipeitimes_world
1749162,1749162,2164726_v1.2.0,20160415,2016,4,15,MEAREB,,REB,,USAREB,USA,REB,,10,1,0,0,,NA,NA,,,,5710d469421aa9242ff7b5cf_1,http://business.inquirer.net/209509/general-motors-says-it-will-phase-out-cars-without-air-bags,phil_inquirer
458609,458609,763332,20150208,2015,2,8,MNCUSAMED,MNC,,USA;MED,USA,USA,,,90,9,3,-2,,33,44,Republic of Iraq,,Republic of Iraq,54d6cca7ee64790757c84f72_3;54d6b757ee64790757c84d46_2,http://feedproxy.google.com/~r/com/YEor/~3/hei1B2uJimk/story01.htm;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE3AhQOQ_mpcLjaRcjPC0D2tuiQ6g&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778732331720&ei=NbbWVNjZHsSl3QGwoIL4Dg&url=http://www.reuters.com/article/2015/02/08/us-media-brianwilliams-idUSKBN0LB0T420150208,int_the_news_latest;google
1036755,1036755,1350546_v0.2.0,20150826,2015,8,26,INDCOP,IND,COP,,IGOSASSAA,IGO,,SAS;SAA,41,4,1,1,,22,79,Republic of India,,IND,55de7ceb421aa9613a54a94a_1,http://feedproxy.google.com/~r/TheNewsInternational-Islamabad/~3/D8Eey3apFmY/story01.htm,int_the_news_islamabad
923960,923960,1237711_v0.2.0,20150718,2015,7,18,IND,IND,,,INDENV,IND,,ENV,36,3,1,4,,NA,NA,,,,55a9c525421aa95f75fd154c_1,http://www.thehindu.com/news/cities/Delhi/ministers-salary-perks-for-ashish-khetan/article7436317.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,hindu_cities
394701,394701,699407,20150116,2015,1,16,AZE,AZE,,,MNCUSABUS,MNC,,USA;BUS,57,5,1,8,,40.37767,49.89201,Baku,Baku City,Republic of Azerbaijan,54c28f50bfd10958a25a1705_0;54c2c772bfd1095cb79438a7_0,http://www.europesun.com/index.php/sid/229413567/scat/88176adfdf246af5;http://www.europesun.com/index.php/sid/229413567/scat/88176adfdf246af5,bnn_europe;bnn_europe
1617545,1617545,2033067_v1.2.0,20160303,2016,3,3,RUS,RUS,,,USAMIL,USA,MIL,,43,4,1,2.8,,60,100,Russian Federation,,RUS,56d87e21421aa92db91dee08_1,http://worldtribunepakistan.com/2016/03/03/syrian-opposition-casts-doubt-on-u-n-peace-talk-plan/,pakistan_worldtribune
