,X,GID,Date,Year,Month,Day,Source,SrcActor,SrcAgent,SOthAgent,Target,TgtActor,TgtAgent,TOthAgent,CAMEO,RootCode,QuadClass,Goldstein,None,Lat,Lon,Geoname,AdminInfo,CountryCode,ID,URL,sourcetxt
18918,18918,332047,20140627,2014,6,27,ISRMED,ISR,MED,,ISR,ISR,,,10,1,0,0,,NA,NA,,,,53acd0adbfd1091b45e1541d_3,http://article.wn.com/view/2014/06/27/Interest_Rate_June_26_2014_Ministry_of_Finance_of_the_State_/,wn_politics
958371,958371,1272134_v0.2.0,20150730,2015,7,30,USA,USA,,,SAU,SAU,,,311,3,1,5.2,,NA,NA,,,,55bad36a421aa9364f621b18_0,http://feedproxy.google.com/~r/World-TheNewsInternational/~3/TBd0bl5PQK0/story01.htm,int_the_news_world
494657,494657,654001_v0.2.0,20150220,2015,2,20,UKRGOVENV,UKR,GOV,ENV,UKRGOV,UKR,GOV,,32,3,1,4.5,,49,32,Ukraine,,UKR,54e789e9ee647946aa4ab36a_2,http://article.wn.com/view/2015/02/20/Putin_says_Russia_will_never_yield_to_foreign_pressure_g/,wn_world
1188779,1188779,1502616_v0.2.0,20151013,2015,10,13,TWNGOV,TWN,GOV,,TWN,TWN,,,10,1,0,0,,25.04776,121.53185,Taipei,Taipei,TWN,561cba7b421aa97adc28b79d_5,http://article.wn.com/view/2015/10/13/Mayor_Lai_Presided_The_Raising_Flag_Ceremony_Tainan_City_Gov/,wn_asia
209143,209143,519715,20140906,2014,9,6,IRQ,IRQ,,,USA,USA,,,20,2,0,3,,NA,NA,,,,540c2ce0bfd1090b40d10fda_0,http://feedproxy.google.com/~r/euronews/en/home/~3/f_ROeIN2WZI/story01.htm,euronews
962686,962686,1276450_v0.2.0,20150801,2015,8,1,GBRGOV,GBR,GOV,,FRA,FRA,,,12,1,0,-0.4,,50.95194,1.85635,Calais,Nord-Pas-de-Calais,FRA,55bc79fa421aa968ca11f77b_3;55bd2fed421aa968c5a37494_6,http://article.wn.com/view/WNAT1fe00245436d12892d1718d484cf2088/;http://article.wn.com/view/2015/08/01/Church_attacks_David_Cameron_s_lack_of_compassion_over_asylu/,wn_world;wn_world
517844,517844,677195_v0.2.0,20150226,2015,2,26,IRQ,IRQ,,,USA,USA,,,43,4,1,2.8,,33.34058,44.40088,Baghdad,Muḩāfaz̧at Baghdād,IRQ,54ef4f3d421aa9250cc85a14_4,http://article.wn.com/view/2015/02/26/APC_Reps_Stage_WalkOut_Over_Troops_Deployment_During_Polls/,wn_africa
26365,26365,339497,20140701,2014,7,1,RUSMED,RUS,MED,,UKRMIL,UKR,MIL,,10,1,0,0,,NA,NA,,,,53b19815bfd1095c90d96eb1_6,http://libertytimes.feedsportal.com/c/33098/f/535600/s/3c076b0f/sc/34/l/0L0Staipeitimes0N0CNews0Cworld0Carchives0C20A140C0A70C0A10C20A0A3594113/story01.htm,taipeitimes_world
903224,903224,1216969_v0.2.0,20150713,2015,7,13,IRQELIGOV,IRQ,,ELI;GOV,PAKGOV,PAK,GOV,,36,3,1,4,,33.72148,73.04329,Islamabad,Islāmābād Capital Territory,PAK,55a3927b421aa909d56e599e_5;55a38400421aa909ce71d429_3;55a383f3421aa909866e0090_5,http://www.asianage.com/india/bring-back-terrorists-pak-your-plane-azam-khan-narendra-modi-704;http://www.hindustantimes.com/india-news/pm-should-bring-back-terrorists-from-pak-on-his-plane-azam-khan/article1-1368747.aspx;http://dc.asianage.com/india/bring-back-terrorists-pak-your-plane-azam-khan-narendra-modi-704,asianage_india;hindustan_india;asianage_india
291551,291551,408752_v0.2.0,20141027,2014,10,27,NGOHRIGOVHRI,NGO,,HRI;GOV;HRI,KEN,KEN,,,10,1,0,0,,-4.05466,39.66359,Mombasa,Mombasa,KEN,544e20efbfd1097e12c64d90_2,http://www.kenyastar.com/index.php/sid/227054619/scat/a262965e0c331d64,bnn_kenya
1710580,1710580,2126131_v1.2.0,20160401,2016,4,1,JPN,JPN,,,USA,USA,,,32,3,1,4.5,,37.566,126.9784,Seoul,Seoul,KOR,56fe4f71421aa971c3461b5e_2;56fe4f74421aa971c5996118_2;56fe56da421aa971c4a3b87c_2;56fee186421aa9257128d573_0,http://article.wn.com/view/2016/04/01/North_Korea_Fires_Missile_Into_the_Sea/;http://article.wn.com/view/2016/04/01/Seoul_N_Korea_fires_missile_and_tries_to_jam_GPS_signals_h/;http://article.wn.com/view/2016/04/01/Seoul_N_Korea_fires_missile_and_tries_to_jam_GPS_signals_e/;http://article.wn.com/view/2016/04/01/Seoul_North_Korea_fires_shortrange_missile_into_sea_m/,wn_world;wn_world;wn_world;wn_world
418000,418000,729490,20150129,2015,1,29,FRA,FRA,,,BGR,BGR,,,174,17,4,-5,"TERROR,2",48.85341,2.3488,Paris,Île-de-France,Republic of France,54ca43c4ee6479074610b940_0;54ca43baee6479075e5dec96_0,http://www.dailystar.com.lb/News/World/2015/Jan-29/285724-bulgaria-extradites-man-suspected-of-link-to-french-attacks.ashx;http://www.sfgate.com/news/crime/article/Bulgaria-extradites-man-suspected-of-link-to-6048157.php,daily_start_int;sfgate_national
223370,223370,533158,20140916,2014,9,16,CUB,CUB,,,BRABUS,BRA,BUS,,10,1,0,0,"NEW_CONSTRUCTION,1",NA,NA,,,,5418f2cdbfd1090620dab8c4_0,http://www.granma.cu/idiomas/ingles/cuba-i/16sept-Cuba%20sees.html,granma
1387144,1387144,1752464_v0.2.0,20151212,2015,12,12,BEL,BEL,,,SYRUAF,SYR,,UAF,173,17,4,-5,,50.85045,4.34878,Brussels,Bruxelles-Capitale,BEL,566bf7dc421aa9755b522bc6_0,http://america.aljazeera.com/articles/2015/12/12/parents-of-foreign-fighters-accuse-belgian-police-of-inaction.html,aljazeera
1297515,1297515,1662809_v0.2.0,20151116,2015,11,16,USAGOV,USA,GOV,,TURGOV,TUR,GOV,,43,4,1,2.8,,36.90812,30.69556,Antalya,Antalya,TUR,5649eff9421aa933aa9e1d8a_0,http://article.wn.com/view/2015/11/16/G20_Summit_opens_in_Turkey_with_minutes_silence_for_Paris_vi/,wn_asia
1048739,1048739,1362535_v0.2.0,20150902,2015,9,2,PAK,PAK,,,IND,IND,,,1123,11,3,-2,,30,70,Islamic Republic of Pakistan,,PAK,55e740e0421aa93e41437931_2;55e71c4d421aa93e4b6be9c1_2,http://feedproxy.google.com/~r/com/YEor/~3/rQoy0LYrNYs/story01.htm;http://feedproxy.google.com/~r/dawn-news/~3/sR12LrYE7Fo/pak-india-cricket-series-pcb-chief-seeks-update-from-bcci,int_the_news_latest;dawn_pk
18448,18448,331577,20140626,2014,6,26,ISR,ISR,,,TUR,TUR,,,55,5,1,7,,NA,NA,,,,53abe151bfd109716d8bca40_5,http://article.wn.com/view/2014/06/26/Turkey_Declaration_of_the_WFTUNakliyatIs_International_Solid/,wn_world
240662,240662,550458,20140924,2014,9,24,IGOUNOKID,IGO,,UNO;KID,SSD,SSD,,,10,1,0,0,,NA,NA,,,,5422f4a6bfd1093439629ba3_1,http://dailyindependentnig.com/2014/09/thousands-children-south-sudan-face-starvation-unicef/,nigeria_dailyindependent
458808,458808,763531,20150209,2015,2,9,RUSGOV,RUS,GOV,,RUS,RUS,,,13,1,0,0.4,,49,32,Ukraine,,Ukraine,54d7a50eee64790757c86deb_0;54d7a50eee64790757c86ded_0;54d7a50fee64790757c86def_0;54d7a505ee64790757c86dd2_0;54d7a507ee64790757c86dd7_0;54d7a50fee64790757c86dee_0;54d7a511ee64790757c86df4_0;54d7a502ee64790757c86dca_0;54d7a502ee64790757c86dcb_0;54d7a50aee64790757c86de0_0;54d7a50aee64790757c86de1_0;54d7a50dee64790757c86de9_0;54d7a510ee64790757c86df1_0;54d7a510ee64790757c86df2_0;54d7a510ee64790757c86df0_0;54d7a50bee64790757c86de4_0;54d7a50bee64790757c86de3_0;54d7a512ee64790757c86df8_0;54d7a503ee64790757c86dcc_0;54d7a503ee64790757c86dcd_0;54d7a506ee64790757c86dd3_0;54d7a513ee64790757c86dfa_0;54d7a513ee64790757c86df9_0;54d7a509ee64790757c86dde_0;54d7a509ee64790757c86ddd_0;54d7a509ee64790757c86ddc_0;54d7a50cee64790757c86de6_0;54d7a507ee64790757c86dd8_0;54d7a508ee64790757c86dd9_0;54d7a508ee64790757c86dda_0,http://www.russiaherald.com/index.php/sid/230087437/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230086469/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230088237/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230088217/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230086829/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230088235/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230086283/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230086811/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230088205/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230085991/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230088225/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230088233/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230085205/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230085207/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230088239/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230087383/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230086677/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230085057/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230088207/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230086813/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230088215/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230088247/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230085253/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230088223/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230086247/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230086841/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230086843/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230085301/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230085381/scat/723971d98160d438;http://www.russiaherald.com/index.php/sid/230085015/scat/723971d98160d438,bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia;bnn_russia
790560,790560,1104270_v0.2.0,20150608,2015,6,8,MNCIND,MNC,,IND,INDCVL,IND,CVL,,62,6,2,7.4,,22.80278,86.18545,Jamshedpur,State of Jharkhand,IND,5575e01f421aa91b0e415ae1_0,http://www.telegraphindia.com/1150609/jsp/jharkhand/story_24581.jsp,india_telegraph_jharkhand
757905,757905,1071604_v0.2.0,20150529,2015,5,29,CAN,CAN,,,FRA,FRA,,,46,4,1,7,,51.05089,13.73832,Dresden,Saxony,DEU,55674a83421aa95f05e77d6f_3,http://www.shanghaidaily.com/world/G7-considers-options-on-reviving-economy/shdaily.shtml,shanghai_world
1176775,1176775,1490608_v0.2.0,20151009,2015,10,9,IRQELIGOV,IRQ,,ELI;GOV,USA,USA,,,42,4,1,1.9,,39.76,-98.5,United States,,USA,5617d932421aa97afef2e7c5_1,https://in.news.yahoo.com/pm-modi-goes-foreign-trips-not-time-farmers-133503198.html,yahoo_india
1836781,1836781,2252377_v1.2.0,20160518,2016,5,18,PAKGOV,PAK,GOV,,IGOUNO,IGO,,UNO,110,1,0,-0.1,,NA,NA,,,,573b7ae5421aa948553631ec_3,http://www.asianage.com/india/pakistan-worried-over-jammu-kashmir-map-bill-364,asianage_india
1589876,1589876,2005389_v1.2.0,20160223,2016,2,23,RUS,RUS,,,USA,USA,,,32,3,1,4.5,,60,100,Russian Federation,,RUS,56cc3acc421aa928cb0149fb_3,http://www.voanews.com/content/syria-agrees-to-us-russia-cease-fire-plan/3202811.html,voa_all
798957,798957,1112669_v0.2.0,20150608,2015,6,8,IND,IND,,,INDGOV,IND,GOV,,20,2,0,3,,NA,NA,,,,557631d3421aa91abc6cc823_5,http://www.hindustantimes.com/india-news/maggi-crisis-labelling-dispute-lands-nestle-in-hot-water/article1-1356502.aspx,hindustan_india
924431,924431,1238182_v0.2.0,20150719,2015,7,19,USAGOV,USA,GOV,,LBN,LBN,,,60,6,2,6,,35.69439,51.42151,Tehrān,Ostān-e Tehrān,IRN,55ac08c9421aa95f0eef2aa2_2,http://www.jpost.com/Israel-News/Politics-And-Diplomacy/US-aims-to-shift-Israel-focus-to-security-ties-after-Iran-deal-409520,jpost_front
117624,117624,434906,20140731,2014,7,31,MYSBUS,MYS,BUS,,RUS,RUS,,,10,1,0,0,,NA,NA,,,,53d9ec25bfd1097267c7bdbe_6,http://article.wn.com/view/2014/07/31/Doubts_over_Qatar_interest_in_VTB_bond/,wn_europe
848412,848412,1162139_v0.2.0,20150624,2015,6,24,CAN,CAN,,,CANGOV,CAN,GOV,,42,4,1,1.9,,45.41117,-75.69812,Ottawa,Ontario,CAN,558a0f38421aa9750300b2fd_1,http://article.wn.com/view/2015/06/24/Government_of_Canada_applauds_Royal_Canadian_Legions_dedicat/,wn_europe
707320,707320,1015117_v0.2.0,20150512,2015,5,12,USA,USA,,,ISRCOP,ISR,COP,,1711,17,4,-9.2,"SECURITY_SERVICES,1",31.76904,35.21633,Jerusalem,,ISR,55525bef421aa94d33e7b6e0_0,http://www.jpost.com/International/White-House-received-Khdeir-after-beating-by-Israeli-police-402889,jpost_front
838408,838408,1152133_v0.2.0,20150622,2015,6,22,TUR,TUR,,,IMGMUSISIREF,IMG,,MUS;ISI;REF,40,4,1,1,"REFUGEES,1",39,35,Republic of Turkey,,TUR,55880214421aa91246204a5f_0,http://article.wn.com/view/2015/06/22/Hundreds_of_Refugees_Cross_Back_Into_Syria_From_Turkey/,wn_world
359693,359693,651217,20141219,2014,12,19,PAK,PAK,,,RUSMIL,RUS,MIL,,41,4,1,1,,NA,NA,,,,54939dc1bfd10906a9bf557e_4,http://www.thefrontierpost.com/2014/12/pak-russia-bilateral-ties-going-from-strength-to-strength/,pakistan_frontierpost
1366681,1366681,1731994_v0.2.0,20151204,2015,12,4,GRCCOP,GRC,COP,,MKD,MKD,,,190,19,4,-10,"VIOLENT_UNREST,7;SECURITY_SERVICES,7;EUROPEAN_UNION,1",41.66667,21.75,Republic of Macedonia,,MKD,566198ad421aa947ed6605f8_1;56627387421aa902e31c1631_6;5661911b421aa947d51b1409_2;5661e8bb421aa95e184c46be_4;56619fcc421aa94f141947d5_1;56619870421aa947dacb83a7_1;56619158421aa947ec4374b8_2;56616547421aa93a2c4d3d26_3,http://article.wn.com/view/2015/12/04/The_Latest_US_gives_24_million_in_refugee_aid_for_Europe/;http://hosted2.ap.org/APDEFAULT/cae69a7523db45408eeb2b3a98c0c9c5/Article_2015-12-04-EU--Europe-Migrants/id-1ec5831f9c1945589e52465ee2a11fbc;http://article.wn.com/view/2015/12/04/The_Latest_Greece_appeals_for_EU_border_guards_migrant_aid_5/;http://article.wn.com/view/2015/12/04/Video_David_Cameron_praises_Bulgarian_policies_on_border_con/;http://article.wn.com/view/2015/12/04/The_Latest_US_gives_24_million_in_refugee_aid_for_Europe_j/;http://article.wn.com/view/2015/12/04/The_Latest_US_gives_24_million_in_refugee_aid_for_Europe_7/;http://article.wn.com/view/2015/12/04/The_Latest_Greece_EU_help_for_migrants_so_far_not_enough_w/;http://article.wn.com/view/2015/12/04/Greece_Accepts_EU_Border_Controls_Defusing_FreeTravel_Threat/,wn_europe;ap;wn_world;wn_world;wn_world;wn_world;wn_europe;wn_world
1139545,1139545,1453368_v0.2.0,20150928,2015,9,28,USA,USA,,,RUS,RUS,,,138,13,3,-7,,NA,NA,,,,560952bf421aa97b0ab2e572_6,http://article.wn.com/view/2015/09/28/What_Happened_The_Last_Time_Putin_Spoke_At_The_United_Nation/,wn_politics
269689,269689,577247,20141016,2014,10,16,PHL,PHL,,,USAGOV,USA,GOV,,10,1,0,0,"LGBT,1",NA,NA,,,,543f5f68bfd1093441163690_0,http://www.philstar.com/headlines/2014/10/16/1380851/groups-storm-us-embassy-pembertons-turnover,philstar_headlines
1668451,1668451,2083989_v1.2.0,20160320,2016,3,20,CHN,CHN,,,NPL,NPL,,,71,7,2,7.4,,28,84,Federal Democratic Republic of Nepal,,NPL,56ee94f3421aa935eea9fe4f_3,https://in.news.yahoo.com/nepal-puts-fuel-deal-china-back-burner-120604136.html,yahoo_india
1645906,1645906,2061438_v1.2.0,20160314,2016,3,14,IRQMIL,IRQ,MIL,,USA,USA,,,42,4,1,1.9,,39.76,-98.5,United States,,USA,56e6e1a9421aa96398f722eb_2,http://www.dw.com/en/american-is-fighter-surrenders-in-iraq-kurdish-military/a-19116012?maca=en-rss-en-all-1573-rdf,dw
1669772,1669772,2085311_v1.2.0,20160321,2016,3,21,TURENVGOV,TUR,,ENV;GOV,TURUAF,TUR,,UAF,10,1,0,0,,31.5,34.75,State of Israel,,ISR,56efa1b5421aa912d8bc819f_4,http://article.wn.com/view/2016/03/21/Cabinet_communique_Ministry_of_Foreign_Affairs_of_the_State_/,wn_asia
1408655,1408655,1793773_v0.2.0,20151221,2015,12,21,IMGMUSISI,IMG,,MUS;ISI,USAGOV,USA,GOV,,43,4,1,2.8,"TERROR,2",48.85341,2.3488,Paris,Île-de-France,FRA,5678289a421aa91acd344c0d_1;5677d084421aa97a8140494a_1,http://www.iol.co.za/obama-open-to-criticism-over-is-policy-1.1962721;http://feeds.reuters.com/~r/Reuters/worldNews/~3/L_2tGgIOfk4/story01.htm,southaf_iol;reuters
585726,585726,891753_v0.2.0,20150324,2015,3,24,USAGOV,USA,GOV,,NGA,NGA,,,10,1,0,0,"ID_DEMOCRACY,1",10,8,Federal Republic of Nigeria,,NGA,55115ec3adb86b2f700f2451_0,http://thenews-chronicle.com/obama-ecowas-seek-peaceful-polls-in-nigeria/,nigeria_newschronicle
1283291,1283291,1648582_v0.2.0,20151112,2015,11,12,AUS,AUS,,,JPN,JPN,,,10,1,0,0,,28.06403,-16.73012,Playa de las Américas,Canary Islands,ESP,564401f2421aa931d6af0544_0;5643dd87421aa92a7f48aae5_0,http://article.wn.com/view/2015/11/12/Halihodzic_focusing_on_points_more_than_payback_AFC_Asian_Fo/;http://article.wn.com/view/2015/11/12/Asian_shares_look_mixed_after_oil_weighs_on_US_markets/,wn_world;wn_world
4227,4227,317350,20140622,2014,6,22,EGY,EGY,,,SAUGOV,SAU,GOV,,43,4,1,2.8,,NA,NA,,,,53a5ba3ebfd109703ef321c3_0,http://libertytimes.feedsportal.com/c/33098/f/535600/s/3bbd0116/sc/11/l/0L0Staipeitimes0N0CNews0Cworld0Carchives0C20A140C0A60C220C20A0A359340A8/story01.htm,taipeitimes_world
811925,811925,1125641_v0.2.0,20150613,2015,6,13,IRQMIL,IRQ,MIL,,IRQ,IRQ,,,874,8,2,10,"SECURITY_SERVICES,1",36.335,43.11889,Mosul,Muḩāfaz̧at Nīnawá,IRQ,557c4ec7421aa94c123a9bec_4,http://article.wn.com/view/2015/06/13/Cuando_Cubango_Over_200_Areas_in_Need_of_Demining_Works/,wn_africa
560978,560978,866997_v0.2.0,20150316,2015,3,16,TUR,TUR,,,NGOARBBUS,NGO,,ARB;BUS,42,4,1,1.9,,41.01384,28.94966,İstanbul,İstanbul,TUR,55076881adb86b6f3d36bb75_0,http://www.al-monitor.com/pulse/originals/2015/03/conference-turkey-mena-region-trade-g20-summit.html,almonitor
704803,704803,1012600_v0.2.0,20150514,2015,5,14,LBNREB,LBN,REB,,USA,USA,,,15,1,0,0,,39.76,-98.5,United States,,USA,5553dd15421aa97004ecde4d_2,http://article.wn.com/view/2015/05/14/US_Embassy_American_citizen_killed_in_Afghanistan_attack/,wn_world
223845,223845,533633,20140916,2014,9,16,GEO,GEO,,,USA,USA,,,51,5,1,3.4,,NA,NA,,,,5418b91cbfd1097c001ad6ac_1,http://www.dw.de/us-pledges-military-support-for-fight-against-ebola-in-west-africa/a-17926063?maca=en-rss-en-all-1573-rdf,dw
372034,372034,676728,20150105,2015,1,5,UKRGOV,UKR,GOV,,FRA,FRA,,,10,1,0,0,,59.5987,55.2078,Kiyev,Perm Krai,Russian Federation,54ab5717bfd1097d6957b95a_2,http://www.themoscowtimes.com/news/article/514046.html,moscow_times
722099,722099,1029901_v0.2.0,20150517,2015,5,17,TUROPP,TUR,OPP,,TURCOP,TUR,COP,,190,19,4,-10,"SECURITY_SERVICES,1",41.01384,28.94966,İstanbul,İstanbul,TUR,5558ff31421aa96fe5e27a89_0,http://article.wn.com/view/2015/05/17/Turkey_PM_seeks_to_rouse_voters_in_giant_Istanbul_rally/,wn_world
689758,689758,1036033_v0.2.0,20150507,2015,5,7,CHNMIL,CHN,MIL,,NPL,NPL,,,72,7,2,8.3,,28,84,Federal Democratic Republic of Nepal,,NPL,554b7eb3421aa91c50f86071_2,https://in.news.yahoo.com/china-sends-record-number-military-personnel-nepal-144204336.html,yahoo_india
998649,998649,1312427_v0.2.0,20150815,2015,8,15,IGOEUREECCVL,IGO,,EUR;EEC;CVL,AUS,AUS,,,60,6,2,6,,-41.43876,147.13467,Launceston,,AUS,55ced8db421aa95c6546c306_5;55cf0491421aa95c5649ac8f_5,http://article.wn.com/view/2015/08/15/Labor_Greens_join_marriage_equality_activists_at_rally_in_Me/;http://article.wn.com/view/2015/08/15/Melbourne_reaffirms_its_place_among_the_world_s_top_50_unive/,wn_politics;wn_politics
1262005,1262005,1610659_v0.2.0,20151104,2015,11,4,MED,,,,USAGOV,USA,GOV,,10,1,0,0,,NA,NA,,,,563b75bc421aa977f2d667ba_1,http://article.wn.com/view/2015/11/04/Want_to_be_an_astronaut_NASAs_looking/,wn_world
698390,698390,1006185_v0.2.0,20150511,2015,5,11,TZA,TZA,,,COD,COD,,,43,4,1,2.8,"ID_DEMOCRACY,1",-4.32758,15.31357,Kinshasa,Kinshasa City,COD,5550f96d421aa93ff581ec24_0,http://article.wn.com/view/2015/05/11/Congo_seeks_extradition_of_Islamist_rebel_chief_from_Tanzani/,wn_world
59557,59557,374607,20140713,2014,7,13,PSEREBHMS,PSE,REB,HMS,ISR,ISR,,,10,1,0,0,,NA,NA,,,,53c291cdbfd1092383f956b9_6,http://america.aljazeera.com/articles/2014/7/13/israeli-marines-launchgroundincursion.html,aljazeera
184778,184778,495339,20140828,2014,8,28,USA,USA,,,SWE,SWE,,,180,18,4,-9,,NA,NA,,,,53fee82abfd109397c3d7a1c_4,http://www.shanghaisun.com/index.php/sid/225153455/scat/360231fd461d67ac,bnn_shanghai
1120633,1120633,1434450_v0.2.0,20150922,2015,9,22,USALEG,USA,,LEG,CHNGOV,CHN,GOV,,40,4,1,1,,39.76,-98.5,United States,,USA,56010485421aa950b79bb1ab_2;5600c2d3421aa950b79bb107_6,http://article.wn.com/view/2015/09/22/He_Wenbo_Meets_Jeon_ByungWoo_President_of_Fareast_Investment/;http://article.wn.com/view/2015/09/22/Xi_Jinping_Sends_Message_of_Condolences_to_President_Michell/,wn_asia;wn_asia
269655,269655,577213,20141016,2014,10,16,USA,USA,,,FRA,FRA,,,191,19,4,-9.5,,NA,NA,,,,543fef3dbfd1094a668f16ec_4,http://article.wn.com/view/2014/10/16/Transportation_Security_Administration_chief_to_retire/,wn_world
1588780,1588780,2004293_v1.2.0,20160223,2016,2,23,GBRGOV,GBR,GOV,,IRQELIGOV,IRQ,,ELI;GOV,10,1,0,0,"EUROPEAN_UNION,1",50.04606,1.42079,Eu,Haute-Normandie,FRA,56cc7c6a421aa93d49e33c86_3,http://article.wn.com/view/2016/02/23/are_you_Team_Cameron_or_Team_Boris/,wn_europe
1655294,1655294,2070828_v1.2.0,20160315,2016,3,15,PRK,PRK,,,ZAF,ZAF,,,30,3,1,4,,NA,NA,,,,56e8707b421aa973762c5c48_5,http://article.wn.com/view/2016/03/15/Finance_Union_saves_close_to_600_jobs_at_FNB/,wn_africa
1774557,1774557,2190129_v1.2.0,20160422,2016,4,22,SAU,SAU,,,ARE,ARE,,,60,6,2,6,,25.0657,55.17128,Dubai,Dubayy,ARE,5719b6ac421aa96cc866c2bb_4;571a59cc421aa92b7b58e5dc_4,http://article.wn.com/view/2016/04/22/Meet_the_unsung_heroes_of_Dubai/;http://article.wn.com/view/2016/04/22/Everything_you_need_to_know_about_Legoland_Dubai/,wn_mideast;wn_mideast
1143224,1143224,1457048_v0.2.0,20150930,2015,9,30,ZAFGOV,ZAF,GOV,,USAGOVGOVAGR,USA,GOV,GOV;AGR,10,1,0,0,,-26.20227,28.04363,Johannesburg,Gauteng,ZAF,560c1061421aa97ac7ac2d7d_0,http://www.iol.co.za/gauteng-establishes-new-department-1.1923315,southaf_iol
713056,713056,1020855_v0.2.0,20150514,2015,5,14,SYR,SYR,,,RUS,RUS,,,41,4,1,1,,34.88902,35.88659,Tartouss,,SYR,5554a843421aa97003f296f6_4,http://article.wn.com/view/2015/05/14/Q_A_Yemen_has_gone_100_years_back_in_time/,wn_mideast
425066,425066,732582,20150131,2015,1,31,USA,USA,,,RUS,RUS,,,73,7,2,7.4,,35.08449,-106.65114,Albuquerque,,United States,54cd0b68ee64790752627139_0,http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHpsy7X1oWadwHqEi80xUDth6BlJw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778727289896&ei=jArNVKj7GKi-wAG0vIDwCg&url=http://www.wsj.com/articles/american-russian-burst-ballooning-records-in-pacific-crossing-1422721841,google
1825678,1825678,2241270_v1.2.0,20160512,2016,5,12,USALEG,USA,,LEG,USAELI,USA,,ELI,46,4,1,7,"ID_DEMOCRACY,2",NA,NA,,,,57349fdc421aa93bcdfb6fa2_2;57341b6c421aa90844ca7fde_5,http://article.wn.com/view/2016/05/12/Hillary_Clinton_says_she_supports_statehood_for_DC_ll/;http://article.wn.com/view/2016/05/12/Sanders_Montana_primary_vote_matters_as_race_nears_end/,wn_politics;wn_world
1720887,1720887,2136442_v1.2.0,20160406,2016,4,6,ARE,ARE,,,IND,IND,,,50,5,1,3.5,,19.07283,72.88261,Mumbai,,IND,5704ca55421aa94ab6e2c374_0,http://www.livemint.com/Companies/7sc5rqwHnJ3VWKmR5m6xRI/Altico-Capital-deploys-Rs575-crore-across-three-deals.html,india_mint_companies
1674682,1674682,2090222_v1.2.0,20160323,2016,3,23,IMGMUSISI,IMG,,MUS;ISI,BEL,BEL,,,1831,18,4,-10,"PUBLIC_TRANSIT,1;SUICIDE_ATTACK,1",50.85045,4.34878,Brussels,Bruxelles-Capitale,BEL,56f1c281421aa95d9e599794_1,http://www.thestar.com.my/news/world/2016/03/23/australian-airports-have-sufficient-security--prime-minister/,malstar_world
1188966,1188966,1502803_v0.2.0,20151011,2015,10,11,SAU,SAU,,,EGY,EGY,,,61,6,2,6.4,,25,45,Kingdom of Saudi Arabia,,SAU,561b1c15421aa97b0ab336c2_3,http://feedproxy.google.com/~r/World-TheNewsInternational/~3/YcIbT6zutsw/story01.htm,int_the_news_world
607531,607531,913570_v0.2.0,20150405,2015,4,5,TURCVLEDU,TUR,CVL,EDU,TURGOV,TUR,GOV,,10,1,0,0,"POSTSECONDARY_EDUCATION,1",NA,NA,,,,552136f5421aa909e9a44499_4,http://article.wn.com/view/2015/04/05/Ahead_of_the_Turkish_presidents_visit_to_Iran_Tehran_Ankara_/,wn_politics
