"","code","src_actor","month","tgt_actor","country_code","year","date8_val","id","source","date8","src_agent","latitude","src_other_agent","geoname","quad_class","source_text","root_code","tgt_other_agent","day","target","goldstein","tgt_agent","longitude","url"
"558","042","USA","03","IRQ","IRQ","2017",2017-03-26 20:00:00,"5a834061ff261b48ad0745c3_3","USAMIL","20170327","MIL","33","","Republic of Iraq ",1,"google","04","","27","IRQ",1.9,"","44","http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGYsTmCnuhCjZtGgyROZJ4ZQdAiQg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779434571252&ei=DpnZWNiyK5TgqAL4zoD4DA&url=https://www.nytimes.com/2017/03/27/world/middleeast/mosul-iraq-isis-civilian-deaths-us-airstrikes.html"
"559","010","","03","","","2017",2017-03-26 20:00:00,"5a83405fff261b48ad0745ab_6","---GOVSPY","20170327","GOV","","SPY"," ",0,"google","01","","27","MED",0,"","","http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNElF4yg3PRMEcqs9zRqjQz0gUc54g&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779440069541&ei=DpnZWNiyK5TgqAL4zoD4DA&url=http://www.cnn.com/2017/03/27/politics/devin-nunes-white-house-donald-trump/"
"560","030","LKA","03","LKA","LKA","2017",2017-03-26 20:00:00,"5a834068ff261b48ad074602_1","LKA","20170327","","6.93194","","Colombo Western Province",1,"reuters","03","GOV;MIL","27","LKACVLGOVMIL",4,"CVL","79.84778","http://feeds.reuters.com/~r/Reuters/worldNews/~3/H5BZO-DNsvE/us-sri-lanka-warcrimes-probe-idUSKBN16Y2OU"
"561","015","IGO","03","","","2017",2017-03-26 20:00:00,"5a834068ff261b48ad074602_5","IGOUNO","20170327","","","UNO"," ",0,"reuters","01","","27","---CVL",0,"CVL","","http://feeds.reuters.com/~r/Reuters/worldNews/~3/H5BZO-DNsvE/us-sri-lanka-warcrimes-probe-idUSKBN16Y2OU"
"562","055","USA","03","GBR","GBR","2017",2017-03-26 20:00:00,"5a834068ff261b48ad074601_1","USA","20170327","","51.50853","","London England",1,"guardian_americas","05","","27","GBR",7,"","-0.12574","https://www.theguardian.com/music/2017/mar/28/ed-sheeran-facebook-busker-charlotte-campbell"
"563","042","RUS","03","ROU","AUT","2017",2017-03-26 20:00:00,"5a834067ff261b48ad0745fb_1","RUS","20170327","","48.20849","","Vienna Wien",1,"wn_world","04","","27","ROUMIL",1.9,"MIL","16.37208","https://article.wn.com/view/2017/03/28/Russian_Inspectors_to_Assess_Military_Facility_in_Romania_Tu/"
"564","010","USA","03","RUS","USA","2017",2017-03-26 20:00:00,"5a834067ff261b48ad0745fb_5","USAMIL","20170327","MIL","39.76","","United States ",0,"wn_world","01","","27","RUSGOV",0,"GOV","-98.5","https://article.wn.com/view/2017/03/28/Russian_Inspectors_to_Assess_Military_Facility_in_Romania_Tu/"
"565","020","","03","","","2017",2017-03-26 20:00:00,"5a834067ff261b48ad0745f6_1","---CVL","20170327","CVL","",""," ",0,"guardian_americas","02","","27","---GOV",3,"GOV","","https://www.theguardian.com/society/2017/mar/28/children-missing-out-on-education-at-risk-of-abuse-and-exploitation"
"566","173","","03","","USA","2017",2017-03-26 20:00:00,"5a83405fff261b48ad0745b3_1","---CVLGOV","20170327","CVL","43.12645","GOV","West Alabama New York",4,"sfgate_national","17","","27","---CVL",-5,"CVL","-78.4578","http://www.sfgate.com/news/crime/article/Boys-Girls-Club-president-arrested-on-child-11031615.php"
"567","015","USA","03","","USA","2017",2017-03-26 20:00:00,"5a834060ff261b48ad0745b5_1","USAGOV","20170327","GOV","40.58145","","Oklahoma Pennsylvania",0,"sfgate_national","01","","27","---CRM",0,"CRM","-79.57393","http://www.sfgate.com/news/crime/article/Sheriff-3-burglars-fatally-shot-by-homeowner-s-11031156.php"
